Date,Gender,Age,Conducted,Passed,Pass rate (Percentage)
2007 to 2008,Female,16,58,32,55.2
2007 to 2008,Female,17,"169,448","85,515",50.5
2007 to 2008,Female,18,"142,587","62,927",44.1
2007 to 2008,Female,19,"77,500","32,310",41.7
2007 to 2008,Female,20,"53,249","21,905",41.1
2007 to 2008,Female,21,"45,260","18,503",40.9
2007 to 2008,Female,22,"40,941","17,010",41.5
2007 to 2008,Female,23,"36,311","14,807",40.8
2007 to 2008,Female,24,"32,633","13,160",40.3
2007 to 2008,Female,25,"28,918","11,484",39.7
2007 to 2008,Female,26,"26,661","10,480",39.3
2007 to 2008,Female,27,"24,605","9,425",38.3
2007 to 2008,Female,28,"21,973","8,154",37.1
2007 to 2008,Female,29,"18,953","6,936",36.6
2007 to 2008,Female,30,"16,995","6,123",36.0
2007 to 2008,Female,31,"15,816","5,613",35.5
2007 to 2008,Female,32,"14,674","5,158",35.2
2007 to 2008,Female,33,"13,355","4,536",34.0
2007 to 2008,Female,34,"12,153","4,024",33.1
2007 to 2008,Female,35,"11,442","3,781",33.0
2007 to 2008,Female,36,"10,577","3,480",32.9
2007 to 2008,Female,37,"9,408","3,099",32.9
2007 to 2008,Female,38,"8,631","2,753",31.9
2007 to 2008,Female,39,"7,685","2,445",31.8
2007 to 2008,Female,40,"6,855","2,210",32.2
2007 to 2008,Female,41,"6,138","1,920",31.3
2007 to 2008,Female,42,"5,558","1,698",30.6
2007 to 2008,Female,43,"4,888","1,478",30.2
2007 to 2008,Female,44,"4,396","1,340",30.5
2007 to 2008,Female,45,"3,843","1,168",30.4
2007 to 2008,Female,46,"3,457","1,031",29.8
2007 to 2008,Female,47,"3,167",888,28.0
2007 to 2008,Female,48,"2,765",781,28.2
2007 to 2008,Female,49,"2,474",711,28.7
2007 to 2008,Female,50,"2,086",600,28.8
2007 to 2008,Female,51,"1,949",536,27.5
2007 to 2008,Female,52,"1,753",473,27.0
2007 to 2008,Female,53,"1,605",429,26.7
2007 to 2008,Female,54,"1,249",362,29.0
2007 to 2008,Female,55,"1,107",309,27.9
2007 to 2008,Female,56,"1,037",305,29.4
2007 to 2008,Female,57,918,236,25.7
2007 to 2008,Female,58,800,211,26.4
2007 to 2008,Female,59,748,202,27.0
2007 to 2008,Female,60,702,187,26.6
2007 to 2008,Female,61 and over,"2,801",688,24.6
2007 to 2008,Female,Total,"900,129","371,423",41.3
2007 to 2008,Female,Unknown,[x],[x],[x]
2007 to 2008,Male,16,79,50,63.3
2007 to 2008,Male,17,"216,714","115,455",53.3
2007 to 2008,Male,18,"131,646","61,790",46.9
2007 to 2008,Male,19,"67,849","31,426",46.3
2007 to 2008,Male,20,"45,400","21,533",47.4
2007 to 2008,Male,21,"38,882","18,507",47.6
2007 to 2008,Male,22,"34,649","16,722",48.3
2007 to 2008,Male,23,"31,000","14,754",47.6
2007 to 2008,Male,24,"28,103","13,544",48.2
2007 to 2008,Male,25,"26,089","12,240",46.9
2007 to 2008,Male,26,"24,536","11,450",46.7
2007 to 2008,Male,27,"23,898","11,038",46.2
2007 to 2008,Male,28,"21,174","9,580",45.2
2007 to 2008,Male,29,"19,087","8,419",44.1
2007 to 2008,Male,30,"17,255","7,399",42.9
2007 to 2008,Male,31,"16,287","6,888",42.3
2007 to 2008,Male,32,"14,841","6,152",41.5
2007 to 2008,Male,33,"13,226","5,519",41.7
2007 to 2008,Male,34,"11,839","4,842",40.9
2007 to 2008,Male,35,"10,638","4,334",40.7
2007 to 2008,Male,36,"9,230","3,736",40.5
2007 to 2008,Male,37,"8,654","3,408",39.4
2007 to 2008,Male,38,"7,380","2,917",39.5
2007 to 2008,Male,39,"6,816","2,671",39.2
2007 to 2008,Male,40,"5,396","2,154",39.9
2007 to 2008,Male,41,"5,065","1,961",38.7
2007 to 2008,Male,42,"4,653","1,834",39.4
2007 to 2008,Male,43,"3,969","1,541",38.8
2007 to 2008,Male,44,"3,295","1,264",38.4
2007 to 2008,Male,45,"3,003","1,127",37.5
2007 to 2008,Male,46,"2,712",990,36.5
2007 to 2008,Male,47,"2,392",920,38.5
2007 to 2008,Male,48,"2,013",734,36.5
2007 to 2008,Male,49,"1,650",628,38.1
2007 to 2008,Male,50,"1,375",540,39.3
2007 to 2008,Male,51,"1,207",451,37.4
2007 to 2008,Male,52,"1,041",358,34.4
2007 to 2008,Male,53,886,326,36.8
2007 to 2008,Male,54,797,279,35.0
2007 to 2008,Male,55,676,254,37.6
2007 to 2008,Male,56,572,210,36.7
2007 to 2008,Male,57,500,164,32.8
2007 to 2008,Male,58,447,170,38.0
2007 to 2008,Male,59,356,141,39.6
2007 to 2008,Male,60,294,101,34.4
2007 to 2008,Male,61 and over,"1,475",501,34.0
2007 to 2008,Male,Total,"869,046","411,022",47.3
2007 to 2008,Male,Unknown,[x],[x],[x]
2007 to 2008,Total,16,137,82,59.9
2007 to 2008,Total,17,"386,162","200,970",52.0
2007 to 2008,Total,18,"274,233","124,717",45.5
2007 to 2008,Total,19,"145,349","63,736",43.9
2007 to 2008,Total,20,"98,649","43,438",44.0
2007 to 2008,Total,21,"84,142","37,010",44.0
2007 to 2008,Total,22,"75,590","33,732",44.6
2007 to 2008,Total,23,"67,311","29,561",43.9
2007 to 2008,Total,24,"60,736","26,704",44.0
2007 to 2008,Total,25,"55,007","23,724",43.1
2007 to 2008,Total,26,"51,197","21,930",42.8
2007 to 2008,Total,27,"48,503","20,463",42.2
2007 to 2008,Total,28,"43,147","17,734",41.1
2007 to 2008,Total,29,"38,040","15,355",40.4
2007 to 2008,Total,30,"34,250","13,522",39.5
2007 to 2008,Total,31,"32,103","12,501",38.9
2007 to 2008,Total,32,"29,515","11,310",38.3
2007 to 2008,Total,33,"26,581","10,055",37.8
2007 to 2008,Total,34,"23,992","8,866",37.0
2007 to 2008,Total,35,"22,080","8,115",36.8
2007 to 2008,Total,36,"19,807","7,216",36.4
2007 to 2008,Total,37,"18,062","6,507",36.0
2007 to 2008,Total,38,"16,011","5,670",35.4
2007 to 2008,Total,39,"14,501","5,116",35.3
2007 to 2008,Total,40,"12,251","4,364",35.6
2007 to 2008,Total,41,"11,203","3,881",34.6
2007 to 2008,Total,42,"10,211","3,532",34.6
2007 to 2008,Total,43,"8,857","3,019",34.1
2007 to 2008,Total,44,"7,691","2,604",33.9
2007 to 2008,Total,45,"6,846","2,295",33.5
2007 to 2008,Total,46,"6,169","2,021",32.8
2007 to 2008,Total,47,"5,559","1,808",32.5
2007 to 2008,Total,48,"4,778","1,515",31.7
2007 to 2008,Total,49,"4,124","1,339",32.5
2007 to 2008,Total,50,"3,461","1,140",32.9
2007 to 2008,Total,51,"3,156",987,31.3
2007 to 2008,Total,52,"2,794",831,29.7
2007 to 2008,Total,53,"2,491",755,30.3
2007 to 2008,Total,54,"2,046",641,31.3
2007 to 2008,Total,55,"1,783",563,31.6
2007 to 2008,Total,56,"1,609",515,32.0
2007 to 2008,Total,57,"1,418",400,28.2
2007 to 2008,Total,58,"1,247",381,30.6
2007 to 2008,Total,59,"1,104",343,31.1
2007 to 2008,Total,60,996,288,28.9
2007 to 2008,Total,61 and over,"4,276","1,189",27.8
2007 to 2008,Total,Total,"1,769,584","782,662",44.2
2007 to 2008,Total,Unknown,409,217,53.1
2008 to 2009,Female,16,33,22,66.7
2008 to 2009,Female,17,"168,524","87,941",52.2
2008 to 2009,Female,18,"138,973","63,130",45.4
2008 to 2009,Female,19,"72,446","30,972",42.8
2008 to 2009,Female,20,"50,480","21,182",42.0
2008 to 2009,Female,21,"41,634","17,657",42.4
2008 to 2009,Female,22,"38,383","16,153",42.1
2008 to 2009,Female,23,"34,876","14,688",42.1
2008 to 2009,Female,24,"30,721","12,499",40.7
2008 to 2009,Female,25,"28,453","11,737",41.3
2008 to 2009,Female,26,"26,489","10,511",39.7
2008 to 2009,Female,27,"24,506","9,566",39.0
2008 to 2009,Female,28,"23,487","8,864",37.7
